,x0,x1
Jersey,1.785787250150471,4.170732684030988
Jordan,-8.862529368790772,5.513521733780782
Kazakhstan,-4.958632420156591,-0.3891949621106882
Kenya,-8.714427160028645,2.042524333394206
Kiribati,11.973259030809238,-2.91747055817343
Kuwait,-15.355869857101773,4.809424665041469
Kyrgyzstan,-5.737096540214676,-2.63541026276112
Laos,-11.163499524973927,-6.345139840282156
Latvia,-2.4557264549339384,3.2339211079406116
Lebanon,-8.21723506027744,3.793503810899503
Lesotho,2.7088055044135135,-0.24219668089251525
Liberia,5.901941788368688,7.654448146373011
Libya,3.6242599470120624,4.0318477132500865
Lithuania,-4.070583243029269,3.102895931509724
Luxembourg,-3.262944020783202,6.785668347532998
Macau,-11.136166269134034,-7.282226768496134
Macedonia,4.33813502824621,3.123664506880247
Madagascar,2.7994598294856248,6.0744984068653975
Malawi,-7.1538264287145035,2.6526716347559627
Malaysia,-11.207302183606643,-5.1091996733165
Maldives,-3.9248117460012795,6.363312608946381
Mali,3.921218865451281,5.593408740133531
Malta,6.098823321395641,5.521787955409123
Marshall Islands,14.280522828770879,-4.813752031120919
Martinique,7.155321828725182,-5.059782454010861
Mauritania,5.924825249045723,1.917568455269891
Mauritius,-2.440408806188934,4.073655029687746
Mayotte,-6.257933402467505,0.8876899831229177
Mexico,9.614743577907014,-5.6168183855731355
Micronesia,2.8053500173018926,-8.681693092344698
Moldova,-4.35736039965154,8.041911490173877
Mongolia,-9.551399105544613,-6.234564273962176
Montenegro,5.230950442860748,4.221990613423158
Morocco,7.435884154109927,1.9772104796309837
Mozambique,1.6773595478781531,-0.4159562770530748
Namibia,-2.5391894181569494,5.7957944369528205
Nauru,-1.0490146063531518,-6.280420775395511
Nepal,-8.839634306562022,-4.3594049964069574
Netherlands,-2.645690262710855,4.882078020229376
Netherlands Antilles,14.17033689133352,-5.981375167352002
New Caledonia,-4.447779293234544,-4.8012051212559985
New Zealand,6.20611487170693,-4.594775425868018
Nicaragua,10.02509446259193,-6.206570770054016
Niger,2.3625709953335345,6.269972482486315
Nigeria,6.504224744086952,2.9441903227632613
Norfolk Island,2.6868083622821324,-5.759870414690296
North Korea,-10.581051222152771,-7.462456049232888
Northern Mariana Islands,-7.3855686243766705,-8.471187336839389
Norway,2.234242031255128,4.51619304164883
Oman,-15.603909432548575,4.880194875740235
Pakistan,-8.746103396744921,-0.6791080973459187
Palau,-6.5496344176589085,-6.78927951519507
Panama,7.037321246074186,-7.065265797367186
Papua New Guinea,-5.770781445591629,-7.056078749202217
Paraguay,10.485348821897478,-4.855105770944018
Peru,8.665222978938958,-7.838347059948766
Philippines,-10.208149346295974,-7.89392528301995
Poland,-5.138663299398165,3.8367027399960745
Portugal,8.292087471833835,3.919605417894276
Puerto Rico,15.425917626034241,-6.372314360219954
Qatar,-14.363708354886505,4.899506772367845
Reunion,3.0583010496590983,1.729196012672363
Romania,-4.097781680837167,4.882473131667007
Russia,-6.130428748641105,-2.1978964840690067
Rwanda,-10.495926236633249,3.083218863272992
Saint Kitts and Nevis,12.529016563723392,-7.472592213536223
Saint Lucia,7.777658666662609,-2.675406573194075
Saint Pierre and Miquelon,11.461812224482202,-3.853693003307578
Saint Vincent and the Grenadines,7.128311816119272,-1.2469073383200961
Samoa,12.494329524310393,-4.52327817240454
Sao Tome and Principe,4.882423427156589,5.010751387768969
Saudi Arabia,-15.710168444757254,3.835823640622013
Senegal,7.957017055958237,4.523190474639146
Serbia,-0.3780119093269383,3.6564142868423484
Seychelles,-3.5408475905577372,5.219474898364678
Sierra Leone,-1.0816459708183543,2.8979146637308166
Singapore,-12.716380023702179,-4.915230604508134
Slovakia,2.275623166007524,2.7700062941716013
Slovenia,-6.229135550737004,6.072294175396512
Solomon Islands,-1.7439960605529847,-4.531663210360187
Somalia,-13.632293727727227,4.216686784590326
South Africa,1.310240645497639,0.4273324688993343
South Korea,-7.241586966740807,-6.936119521985178
South Sudan,-13.881765494730537,4.4032972564928325
Spain,8.711654789222333,3.309701642854162
Sri Lanka,-8.947359914928846,-2.0110151392298428
Sudan,-15.69643060731299,3.729345587367348
Suriname,9.716429178419046,4.193800025289543
Swaziland,2.8224997110840553,-0.7713174059131099
Sweden,0.681980015249323,5.06204420766995
Switzerland,3.9591451381137337,6.190359885270441
Taiwan,-8.770946719554729,-6.466138238869768
Tajikistan,-2.3274687003798493,4.052317126082212
Tanzania,-14.164902564488937,3.9498889650632667
Thailand,-11.887607574873972,-5.819702450876408
Togo,1.4976394101984556,5.231508823451385
Tonga,-2.611462284697601,-6.801932039573153
Trinidad and Tobago,6.140816538014366,-3.4084677149279026
Tunisia,5.698656598848716,4.675948194619836
Turkey,-9.306771186408954,5.126266318552702
Turkmenistan,-4.0230168809988935,4.361464479413607
Turks and Caicos Islands,9.851530448297549,-6.343680096832388
Tuvalu,12.423341629635523,-1.7968331499784584
Uganda,-8.070104181431292,2.193667188608921
Ukraine,-0.8984275652431595,8.077076408123053
United Arab Emirates,-16.046752663104872,5.010162492559421
United Kingdom,-0.9696832957412354,3.615121841156352
United States,8.00585078750007,-7.559977378830082
Uruguay,7.330342037786518,-4.729517855967502
Uzbekistan,-4.832943609200299,4.403599955231447
Vanuatu,2.564380187437939,-4.513448950280079
Venezuela,9.680979637020933,-6.676411076654088
Vietnam,-11.510093082076802,-6.109688785456139
Virgin Islands,14.604606175119123,-5.853798021879823
Wallis and Futuna,-3.4585145784663895,-3.4674168797930536
Western Sahara,5.611684566285508,1.180109223452264
Yemen,-13.58198139842203,5.372691852880276
Zambia,-14.394875723541361,5.911691748853402
Zimbabwe,0.7082309263249341,1.3216416294626396
