location,date,Alpha,Beta,Delta,Gamma,others
United Kingdom,2021-04-19,0.9523510183555444,0.007920543122957003,0.016155393512698013,0.002263012320844858,0.009554940910233845
United Kingdom,2021-05-03,0.8744658493870403,0.007705779334500876,0.09155866900175132,0.00287215411558669,0.008966725043782837
United Kingdom,2021-05-17,0.6404619451787951,0.004243773479894254,0.33602337553916795,0.0020175316543759566,0.012035619869208293
United Kingdom,2021-05-31,0.25961215580926794,0.0011333109469442578,0.7324966420416387,0.000881464069845534,0.00398757555406313
United Kingdom,2021-06-14,0.09416619771149878,0.0007503282686175201,0.9021089583835785,0.0004019615724736715,0.0023849719966771176
United Kingdom,2021-06-28,0.01675797615211086,0.00013811518806684775,0.980940104046775,9.207679204456517e-05,0.0017724782468578795
United Kingdom,2021-07-12,0.006163163519771998,0.0,0.9925543284645529,7.125044531528322e-05,0.00040969006056287854
United Kingdom,2021-07-26,0.0022900896806111568,8.74080030767617e-05,0.9965386430781602,0.0002097792073842281,0.0002971872104609898
United Kingdom,2021-08-09,0.0021696007934540046,7.74857426233573e-05,0.9972415075626084,0.00010848003967270023,0.00018596578229605754
United States,2021-04-05,0.5184991729781492,0.0075157424334755234,0.0006093845216331506,0.03020806128667189,0.17461768375845158
United States,2021-04-19,0.6123513198082988,0.00839313650021107,0.0030791388343969607,0.05290407489260262,0.11115939509820963
United States,2021-05-03,0.6558118498417006,0.00812652281116412,0.012167899505405524,0.07685910622838885,0.0773405698778833
United States,2021-05-17,0.6658953018046049,0.007642345986309894,0.024268823895457373,0.09583074051026758,0.06988954573739888
United States,2021-05-31,0.6259122194168713,0.006848130598692629,0.06547227890568257,0.11309791443295404,0.07311589942240515
United States,2021-06-14,0.48617068480993936,0.002662328057979589,0.23216486713010895,0.1137898732929054,0.06892471527880491
United States,2021-06-28,0.28930958682876495,0.000762639630344085,0.5072899376429949,0.08559508321744201,0.05145574447086268
United States,2021-07-12,0.10084823106243625,0.0004563268373865894,0.794250281848929,0.04077414505824878,0.026762226874966447
United States,2021-07-26,0.027072121234930312,0.00017563007288648024,0.9292461706371609,0.014464391002722267,0.01144104474803357
United States,2021-08-09,0.007710200451529041,3.420674557022645e-05,0.9733871519463638,0.005767257303140179,0.006519805705685161
Uruguay,2021-04-05,0.0,0.0,0.0,0.4857142857142857,0.45714285714285713
Uruguay,2021-04-19,0.0,0.0,0.0,0.5298507462686567,0.44776119402985076
Uruguay,2021-05-03,0.0,0.0,0.0,0.0,1.0
Vietnam,2021-05-03,0.4,0.0,0.6,0.0,0.0
Vietnam,2021-05-17,0.034482758620689655,0.0,0.9655172413793104,0.0,0.0
Vietnam,2021-05-31,0.038461538461538464,0.0,0.9615384615384616,0.0,0.0
Vietnam,2021-06-14,0.0,0.0,1.0,0.0,0.0
Vietnam,2021-06-28,0.0,0.0,1.0,0.0,0.0
Vietnam,2021-07-26,0.0,0.0,1.0,0.0,0.0
Vietnam,2021-08-09,0.0,0.0,1.0,0.0,0.0
Zambia,2021-04-05,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.0
Zambia,2021-04-19,0.0,0.5,0.0,0.0,0.5
Zambia,2021-05-03,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666
Zambia,2021-05-31,0.0,0.0,1.0,0.0,0.0
Zambia,2021-06-14,0.010638297872340425,0.010638297872340425,0.9787234042553191,0.0,0.0
Zambia,2021-06-28,0.0,0.0,1.0,0.0,0.0
Zambia,2021-07-12,0.0,0.0,1.0,0.0,0.0
Zambia,2021-07-26,0.0,0.0,1.0,0.0,0.0
Zambia,2021-08-09,0.0,0.0,1.0,0.0,0.0
Zimbabwe,2021-06-28,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Zimbabwe,2021-07-12,0.0,0.0,1.0,0.0,0.0
Zimbabwe,2021-07-26,0.0,0.0,1.0,0.0,0.0
Zimbabwe,2021-08-09,0.0,0.0,0.9444444444444444,0.0,0.05555555555555555
